Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
521,1,0,521,0.09041833877563477,6.372233941560348
522,1,0,522,0.09196615219116211,6.376980916207026
523,1,0,523,0.08771204948425293,6.380881368257775
524,1,0,524,0.0914011001586914,6.385325240631507
525,1,0,525,0.09052300453186035,6.390073863882467
526,1,0,526,0.09215497970581055,6.394753313320263
527,1,0,527,0.08797717094421387,6.398608617606988
528,1,0,528,0.08826255798339844,6.403369359911067
529,1,0,529,0.09014391899108887,6.408172269237394
530,1,0,530,0.09131646156311035,6.412802349250713
531,1,0,531,0.09010672569274902,6.416487142820575
532,1,0,532,0.09275650978088379,6.419922332501691
533,1,0,533,0.08831143379211426,6.423858860021585
534,2,0,534,0.15364670753479004,6.423541165886494
535,2,0,535,0.3062100410461426,6.411642728309508
536,0,0,536,0.02294158935546875,6.421007651987042
537,0,0,537,0.024875164031982422,6.4304397344118005
538,1,0,538,0.09013557434082031,6.43498653874212
539,1,0,539,0.09241366386413574,6.438427403817937
540,2,0,540,0.15489816665649414,6.43706899129431
541,2,0,541,0.15648198127746582,6.435525741602797
542,2,0,542,0.1626148223876953,6.433712402512704
543,2,0,543,0.1613445281982422,6.432460273580569
544,2,0,544,0.15168070793151855,6.432037121759475
545,2,0,545,0.16327118873596191,6.430051446669093
546,2,0,546,0.15956974029541016,6.429010761000007
547,2,0,547,0.15867948532104492,6.4279128396618574
548,2,0,548,0.17278552055358887,6.42584393664537
549,2,0,549,0.15690398216247559,6.424666223124088
